global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-2.983044498733654,0.5019333093862131,0.0025466454314053435,-0.5839293924248365,0.0,-0.597258570660466,-1.7778595450269474,-0.02399699062140375,0.02399699062140375,,,,,
1,0,1,-6.45421843983465,0.46949935477533333,0.004737467046915593,-0.5309915896696512,0.0,-0.5352041603406454,-5.372912785582797,-0.015109904241555085,0.015109904241555085,,,,,
2,0,2,-3.673189871249653,0.4424904366646184,0.006553570571340028,-0.4849024492440374,0.0,-0.5027592675531061,-2.6781744756357218,-0.007353678816787961,0.007353678816787961,,,,,
3,0,3,-1.6021927373035871,0.41979046366239303,0.008480954532926202,-0.4420781309597056,0.0,-0.4769814368363086,-0.6784650533255626,-0.004668116182010323,0.004668116182010323,,,,,
4,0,4,-1.3097011980099231,0.40316494896245014,0.010383772519544341,-0.4026976514315359,0.0,-0.4567414726608047,-0.4472565577311042,-0.0030055161864783056,0.0030055161864783056,,,,,
5,0,5,-0.957000953124956,0.38945445952551483,0.01221520193265422,-0.3667047416709594,0.0,-0.44049921810244463,-0.14786611950396342,-0.0019308738475886118,0.0019308738475886118,,,,,
6,0,6,-1.6745491476321777,0.35967372212334414,0.013657496861811756,-0.3350451905687549,0.0,-0.42933934702931187,-0.9084507625553835,-0.0017138474787275022,0.0017138474787275022,,,,,
7,0,7,-1.0013421526017028,0.33168485086663446,0.014740295457653013,-0.3062555821465296,0.0,-0.4217102508860753,-0.266632313357743,-0.006744006211354788,0.006744006211354788,,,,,
8,0,8,-1.0037901352217233,0.3050209593910239,0.015886884541917636,-0.27878793829240234,0.0,-0.4142198438704867,-0.30590936234835986,-0.0048729907104743215,0.0048729907104743215,,,,,
9,0,9,-1.1450708110696288,0.2800864751662885,0.01690370934552355,-0.2529744858483898,0.0,-0.4080163036373021,-0.48147460031733685,-0.0026054212666001067,0.0026054212666001067,,,,,
10,0,10,-1.2927570008092155,0.25720134858526245,0.017610984305576654,-0.22921247787256202,0.0,-0.40391756822100433,-0.6586433104949511,-0.0009836442206981439,0.0009836442206981439,,,,,
11,0,11,-1.3939647251123948,0.23577666982040033,0.018017115309009075,-0.20679210054258923,0.0,-0.4016377621116964,-0.7854099294887604,-0.00012493296934861024,0.00012493296934861024,,,,,
12,0,12,-1.104369703226353,0.21621651682178814,0.017992903348286796,-0.18632984019055365,0.0,-0.40177222813317015,-0.5162675215330763,-1.1336955312362854e-07,1.1336955312362854e-07,,,,,
13,0,13,-0.9123380511074909,0.19890766077743569,0.017534831776819654,-0.1682046115587542,0.0,-0.40435089612814973,-0.33978236628066016,-1.7713992675543746e-07,1.7713992675543746e-07,,,,,
14,0,14,-0.9499760875781237,0.1835403170692276,0.017627094077704835,-0.1524687310805393,0.0,-0.4038261395182916,-0.3936811036470062,-1.1333228655076444e-07,1.1333228655076444e-07,,,,,
15,0,15,-1.6154907352460668,0.17127335050705364,0.016433355403336895,-0.13912468023972124,0.0,-0.4108381293606404,-1.0655277484607424,-1.7718496278675917e-07,1.7718496278675917e-07,,,,,
16,0,16,-1.318084681616137,0.1607068465905064,0.015081088898928617,-0.1277381795263759,0.0,-0.4194247404846383,-0.7709216482355696,-1.1336955312366115e-07,1.1336955312366115e-07,,,,,
17,0,17,-1.269328139415465,0.152531979811267,0.013221792857937361,-0.1188454541202254,0.0,-0.43258132068150845,-0.7179012512441781,-1.1336955312365702e-07,1.1336955312365702e-07,,,,,
18,0,18,-1.4839817781671143,0.14853022278046812,0.01057644381864584,-0.11440383560674296,0.0,-0.45490314867861104,-0.9146746805122072,-1.1336955312363597e-07,1.1336955312363597e-07,,,,,
19,0,19,-3.5454199102972463,0.1466494537151447,0.005872572946142117,-0.11036856237229663,0.0,-0.5137292151241895,-2.921322019431207,-1.133695531236785e-07,1.133695531236785e-07,,,,,
20,0,20,-2.6481635909382932,0.1469488531049204,0.005743548419969562,-0.10809319403775945,0.0,-0.5159503974779655,-2.0241198860241925,-1.1339837618329031e-07,1.1339837618329031e-07,,,,,
21,0,21,-4.201397185811954,0.12013075326949427,0.006300755554731863,-0.09396336121336998,0.0,-0.5066927024921745,-3.600741008745272,-1.1336113782483086e-07,1.1336113782483086e-07,,,,,
22,0,22,-2.0731943140805833,0.1251619603767193,0.0020663783913550783,-0.0982419507099872,0.0,-0.6181473951971639,-1.3568048548038787,-1.1336955312370947e-07,1.1336955312370947e-07,,,,,
23,0,23,-13.719083164575643,0.08357626010890945,0.04838192603426377,-0.15074722464793622,-0.8211869945545277,-0.3028608295383892,-12.444287938694863,-1.771399267556713e-07,1.771399267556713e-07,,,,,
24,0,24,-1.6546655231140621,0.09019787544945712,0.04695642898074975,-0.1391187445615805,-0.4901062275271442,-0.305851385409333,-0.7195889884310417,-1.771849627865811e-07,1.771849627865811e-07,,,,,
25,0,25,-1.645951539541022,0.09069222153505072,0.04567985660937618,-0.12936205133904788,-0.4653889232474645,-0.3086075961415807,-0.7425928554433757,-1.1336955312332253e-07,1.1336955312332253e-07,,,,,
26,0,26,-2.153426390513887,0.08658090767212248,0.044548647864362786,-0.11982357512427297,-0.6709546163938762,-0.3111151029375732,-1.0515329826970266,-1.1336113782492004e-07,1.1336113782492004e-07,,,,,
27,0,27,-1.7874150011961136,0.08359442086696142,0.04333639111728621,-0.11171001287937478,-0.8202789566519292,-0.31387394804105817,-0.5415519064838249,-1.771399267554461e-07,1.771399267554461e-07,,,,,
28,0,28,-2.247638435178753,0.08117721680701437,0.042359043104806836,-0.10371602986166371,-0.9411391596492819,-0.31615497406666626,-0.8866281582027651,-1.1339837618354612e-07,1.1339837618354612e-07,,,,,
29,0,29,-2.061210723146074,0.07954041901439346,0.04139335573331707,-0.09673169406710229,-1.0229790492803272,-0.3184610742389354,-0.6230387282782267,-1.7728148251622385e-07,1.7728148251622385e-07,,,,,
