global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-2.1096504074914644,0.17306657412249657,0.0025767737219933584,-0.5834494830517339,0.0,-0.5960829151011975,-0.9071463769308759,-0.0229716324076568,0.0229716324076568,,,,,
1,0,1,-2.3911671607864537,0.1478456460616078,0.005310306333238841,-0.530039130750236,0.0,-0.5237917460192095,-1.3246546045882273,-0.012681679428781043,0.012681679428781043,,,,,
2,0,2,-1.4772992458937415,0.13618811402311473,0.008087737051188128,-0.48232844833559974,0.0,-0.4817282672436221,-0.5054417783720526,-0.0078007519424670695,0.0078007519424670695,,,,,
3,0,3,-1.090145446501637,0.13121922756583157,0.010746025905373043,-0.4386237643624646,0.0,-0.4533126222651192,-0.1931922067381171,-0.0050168531359359655,0.0050168531359359655,,,,,
4,0,4,-1.0054345957261452,0.12984895746874822,0.012964185548461685,-0.39907370000040054,0.0,-0.43454875486043937,-0.168621090695883,-0.0031910501694222943,0.0031910501694222943,,,,,
5,0,5,-0.993496758106352,0.13035344783989047,0.014774606004468128,-0.36320998079427785,0.0,-0.4214777701000252,-0.20669516732706572,-0.00211383988498317,0.00211383988498317,,,,,
6,0,6,-1.6558199771786068,0.12954875494508292,0.015998632108700422,-0.3319683258020356,0.0,-0.41351895502129277,-0.9081264047816557,-0.0022062915736227287,0.0022062915736227287,,,,,
7,0,7,-0.9441790552231282,0.1252974453291136,0.016861541723523443,-0.3036344627623771,0.0,-0.4082660583113389,-0.22616182321585457,-0.0061167109335576965,0.0061167109335576965,,,,,
8,0,8,-0.9897094762871258,0.12176852169930563,0.01781079692065184,-0.2766966315648412,0.0,-0.4027894292853573,-0.30620479629978264,-0.0040186191371446005,0.0040186191371446005,,,,,
9,0,9,-1.0928353621423958,0.11867302193517285,0.018741878277728607,-0.25133197608610974,0.0,-0.39769414239053824,-0.44175549723709157,-0.0020537464286562294,0.0020537464286562294,,,,,
10,0,10,-1.204208629864339,0.11579301613135515,0.019529833678220903,-0.22763311902618116,0.0,-0.3935760847947734,-0.5824502455501948,-0.0005491804931898913,0.0005491804931898913,,,,,
11,0,11,-1.2360864451881988,0.11314266923499414,0.020052895162552285,-0.2055780151965199,0.0,-0.3909331871651509,-0.6395742062112334,-1.036615294738871e-06,1.036615294738871e-06,,,,,
12,0,12,-1.3693315076777348,0.11077724449159698,0.020090991489554188,-0.18571273652199957,0.0,-0.390743397666828,-0.7928751963489805,-1.7713992675540522e-07,1.7713992675540522e-07,,,,,
