global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-1.9733710776184117,0.25835710989431737,0.0025896907483918515,-0.5836553502047376,0.0,-0.5955830740607547,-0.7724004941671421,-0.021732159185777273,0.021732159185777273,,,,,
1,0,1,-1.6748149457514014,0.2363262191263533,0.0054208947103865715,-0.5300742708838376,0.0,-0.5217309947056484,-0.6113462488404032,-0.011663431321511982,0.011663431321511982,,,,,
2,0,2,-1.217846858389674,0.21748304680808697,0.008457934833578137,-0.4821224282719185,0.0,-0.4772532019487294,-0.25047420365064893,-0.00799702451837706,0.00799702451837706,,,,,
3,0,3,-1.0731128070258118,0.20387765522311294,0.011146550556973894,-0.4385413762093046,0.0,-0.4496535486198301,-0.1789351897516344,-0.005982692445042584,0.005982692445042584,,,,,
4,0,4,-1.0518004554043787,0.1928490245720393,0.013668619322417499,-0.3977209862683518,0.0,-0.42925794762991754,-0.21957815520667465,-0.005243366299434723,0.005243366299434723,,,,,
5,0,5,-1.6774179637214357,0.1845957529530288,0.015224015175492578,-0.36361151326790286,0.0,-0.41848154686383926,-0.893075866716418,-0.0022490368732754305,0.0022490368732754305,,,,,
6,0,6,-1.37297065368764,0.17866084532584967,0.016343389770601235,-0.3331548782631006,0.0,-0.4113870573819135,-0.6266547239720626,-0.001773994070563372,0.001773994070563372,,,,,
7,0,7,-1.1024839988282358,0.18056887022115062,0.017212516062121472,-0.3043709909439915,0.0,-0.40620603861904964,-0.3880714612142468,-0.0038355080509477196,0.0038355080509477196,,,,,
8,0,8,-1.1040927103082905,0.18077384599411986,0.018180507883676013,-0.27696561816352794,0.0,-0.4007350251775923,-0.4241780610218862,-0.002214005945284082,0.002214005945284082,,,,,
9,0,9,-1.1406887500756582,0.17786421937305666,0.019138750760534,-0.25114815835787696,0.0,-0.39559879149577887,-0.49327342740360264,-0.0006683728183999284,0.0006683728183999284,,,,,
10,0,10,-1.203829943788795,0.17716525698224136,0.019947558310404512,-0.22710085026938662,0.0,-0.3914598403400147,-0.585265288471509,-3.964707884766948e-06,3.964707884766948e-06,,,,,
11,0,11,-1.3399640994231385,0.17855082938277048,0.02042815213371439,-0.20510002717504397,0.0,-0.38907923720556786,-0.7457846579157488,-1.7712677785100493e-07,1.7712677785100493e-07,,,,,
12,0,12,-1.9592150774375108,0.18145734377043274,0.020474037137192314,-0.18522498782419097,0.0,-0.38885488354623626,-1.3851350927347972,-1.1333228655090923e-07,1.1333228655090923e-07,,,,,
13,0,13,-1.743595419851483,0.1856323205702837,0.01999357703391029,-0.16742905839143796,0.0,-0.391229419049998,-1.1849367652701204,-1.7713992675582024e-07,1.7713992675582024e-07,,,,,
14,0,14,-1.2148426862843635,0.19024090682275954,0.01884060610309274,-0.15189461454000955,0.0,-0.3971687763834091,-0.6657791182210181,-1.7713992675588048e-07,1.7713992675588048e-07,,,,,
15,0,15,-1.4634822650369668,0.19580656522098802,0.017195047600813654,-0.13798106669349772,0.0,-0.4063075712219016,-0.919193513789281,-1.1333228655078606e-07,1.1333228655078606e-07,,,,,
16,0,16,-2.703847444780685,0.20114186946703108,0.015040798080137256,-0.1254545794753133,0.0,-0.41969224144057427,-2.158700510466421,-1.1339837618355642e-07,1.1339837618355642e-07,,,,,
17,0,17,-3.1369053392442248,0.2065652726291777,0.01217820563735431,-0.11402626450311822,0.0,-0.4408025237435233,-2.5820764376364456,-1.13361137824679e-07,1.13361137824679e-07,,,,,
18,0,18,-1.2193859543053336,0.20721212252231472,0.009851698354934173,-0.10780338188001454,0.0,-0.46200099166507597,-0.6495814674279567,-1.1333228655078606e-07,1.1333228655078606e-07,,,,,
19,0,19,-3.9148154583779755,0.21186492182491015,0.004701131807761788,-0.10233021454361815,0.0,-0.5359739296981149,-3.276511200803956,-1.1333228655070771e-07,1.1333228655070771e-07,,,,,
20,0,20,-3.925401890731925,0.2220542371935709,0.011898318273219709,-0.09909185932474249,0.0,-0.44312741684704027,-3.383182501190589,-1.1336955312361524e-07,1.1336955312361524e-07,,,,,
21,0,21,-5.2945870631269685,0.20572198290079055,0.01100279535546731,-0.07597432096080188,0.0,-0.45095150333785183,-4.767661061701537,-1.7712677785115986e-07,1.7712677785115986e-07,,,,,
22,0,22,-8.872149050016708,0.16690679401582906,0.008342780402198477,-0.07558298306550298,0.0,-0.4786238879679072,-8.31794206562216,-1.133611378247569e-07,1.133611378247569e-07,,,,,
23,0,23,-8.534454678397285,0.12625192419824924,0.0010060571712804175,-0.10879404013612404,0.0,-0.6900722892993914,-7.735588235592217,-1.1336955312338791e-07,1.1336955312338791e-07,,,,,
24,0,24,-1430715.9032885632,0.4140102414241543,0.016288586527325347,-0.6004130646633301,0.0,-0.41172292386838444,-1430714.8911524613,-1.1333228655073687e-07,1.1333228655073687e-07,,,,,
25,0,25,-2.84205754452344,0.38212226295087115,0.01691502919840149,-0.5536522475811724,0.0,-0.407949363329148,-0.531308170418167,-1.3491477631949529,1.3491477631949529,,,,,
26,0,26,-2.7695311504953883,0.36077233814242204,0.016836414087901326,-0.511957402986477,0.0,-0.4084151839684726,-0.5113638656762715,-1.3377946978641675,1.3377946978641675,,,,,
27,0,27,-2.555587034962911,0.3418248615212788,0.01648206331737791,-0.4749379492291291,0.0,-0.41054218908656737,-0.3060013043017145,-1.3641055923455,1.3641055923455,,,,,
28,0,28,-2.5597817389711928,0.3194594964273343,0.01593249418367079,-0.44197005466823797,0.0,-0.4139331832994329,-0.34259867953368917,-1.3612798214698327,1.3612798214698327,,,,,
29,0,29,-2.491006911102904,0.27040438417548973,0.0151067265052753,-0.412848062286039,0.0,-0.41925489769384017,-0.29908481765441136,-1.3598191334686136,1.3598191334686136,,,,,
30,0,30,-2.5412913615032444,0.22533052226394715,0.014233553867911265,-0.38576938537119526,0.0,-0.4252082899248264,-0.3666912040023468,-1.363622482204876,1.363622482204876,,,,,
31,0,31,-4.718357327613813,0.1846096768965564,0.01280051176462435,-0.3615404670373556,0.0,-0.4358192008419325,-2.829119260109229,-1.0918783996252954,1.0918783996252954,,,,,
32,0,32,-4.477797080869615,0.15151743285529037,0.01132340260939424,-0.33969421052718274,0.0,-0.44807953587267185,-2.655679662500396,-1.0343436719693642,1.0343436719693642,,,,,
33,0,33,-6.061102344093746,0.12425642569841294,0.009855006714702125,-0.31285487472687995,0.0,-0.46196741909105515,-4.0567194916761915,-1.2295605585996199,1.2295605585996199,,,,,
34,0,34,-5.700966834743924,0.10877604765381069,0.006915331145112813,-0.29316122558765895,0.0,-0.4973869831290462,-3.955782917417945,-0.9546357086092738,0.9546357086092738,,,,,
35,0,35,-2.4028723206490916,0.10910704667150989,0.0005755030709884736,-0.27982000786672984,0.0,-0.7458529891316229,-0.8751544806411887,-0.5020448430095505,0.5020448430095505,,,,,
36,0,36,-558604745.8031884,0.49242710804646894,0.10419734666721871,-1.338487034900577,0.0,-0.22614590167060383,-558604741.4170779,-2.8214776467426868,2.8214776467426868,,,,,
37,0,37,-19782.08163597443,0.5319029022836604,0.011508234421744805,-0.8890129792948037,0.0,-0.4464605572644283,-19780.63174791205,-0.11441452581982317,0.11441452581982317,,,,,
38,0,38,-752.1390048435936,0.4938940693526227,0.0006672147535243049,-0.6076001177620437,0.0,-0.7310900948781768,-749.4642075355418,-1.336107095411564,1.336107095411564,,,,,
39,0,39,-138.9765179250786,0.4749068171211458,0.0003025901174721764,-0.5848851747453808,0.0,-0.8099832064118264,-136.27943022181466,-1.3022193221067302,1.3022193221067302,,,,,
40,0,40,-73.66478614768366,0.4561322183262442,0.0010409904708294914,-0.5561320960516009,0.0,-0.6866622480770043,-71.3562316922962,-1.0657601112588333,1.0657601112588333,,,,,
41,0,41,-77.91927360457733,0.4166763434777814,0.0021076664824658774,-0.4936875396877821,0.0,-0.6161699530120947,-76.40940663193771,-0.40000947993973807,0.40000947993973807,,,,,
42,0,42,-283.88001128230235,0.38396764882706824,0.0032929832838022835,-0.4525860869440147,0.0,-0.5715657721980827,-282.0348190332585,-0.8210403899017565,0.8210403899017565,,,,,
43,0,43,-314.40397735402377,0.28412930094402533,0.003229990866027445,-0.4778424676433735,0.0,-0.5734966419123827,-313.23434060246535,-0.11829764200265554,0.11829764200265554,,,,,
44,0,44,-345.04597002902125,0.2852382576371676,0.001987898931841375,-0.5620177133185026,0.0,-0.6220174093955213,-343.7336255314599,-0.12830937484731803,0.12830937484731803,,,,,
45,0,45,-343.1640491065626,0.4740396329185901,0.00037759678123059325,-0.7145414919473168,0.0,-0.7879038820993303,-341.4903655335069,-0.1712381990089844,0.1712381990089844,,,,,
46,0,46,-504.74564374080853,0.45217551280148205,0.008733255638371457,-0.7365344099231503,0.0,-0.47405025550121566,-503.38189110656145,-0.1531679688226633,0.1531679688226633,,,,,
47,0,47,-435.81223972285045,0.3126750772765369,0.026745443097744008,-0.486227347439208,0.0,-0.3621353782789826,-434.8134886127805,-0.1503883843518147,0.1503883843518147,,,,,
48,0,48,-410.4433020769779,0.07655118376683709,0.033553484726243914,-0.5322993745630556,-1.1724408116581457,-0.33945847515844935,-406.5045202809434,-1.8945831346548423,1.8945831346548423,,,,,
49,0,49,-3229.295042587924,0.27477667826792584,0.06508859439521776,-0.7387279557757246,0.0,-0.27319905828626745,-3228.064263571363,-0.21885200249862174,0.21885200249862174,,,,,
50,0,50,-1196.1735868893093,0.5190284477412891,0.019623717461300007,-0.9756073820888638,0.0,-0.3930965412293734,-806.6157522065379,-388.1891307594533,388.1891307594533,,,,,
51,0,51,-1766.8075934186252,0.4562068582131644,0.07863197636981238,-0.7913957202928743,0.0,-0.25429641208423553,-1765.5722934783012,-0.18960780794681928,0.18960780794681928,,,,,
52,0,52,-247.19096757218108,0.5560781098958304,0.07727981624115007,-0.9966646538844368,0.0,-0.25603095270069703,-200.73313838930247,-45.205133576293505,45.205133576293505,,,,,
53,0,53,-522.7184217154665,0.5560781098958304,0.0336144306473328,-1.040034990434101,0.0,-0.3392770071977565,-520.9003099027201,-0.43879981511459687,0.43879981511459687,,,,,
54,0,54,-89.74317496700081,0.37646661107320456,0.006373616776652635,-0.7143593226403927,0.0,-0.5055431303210788,-88.26474117023551,-0.25853134380381976,0.25853134380381976,,,,,
55,0,55,-44.27466023400067,0.36244835994520885,2.144295971784646e-05,-0.6201996797676734,0.0,-1.0704533591272434,-41.53317184704816,-1.0508353480575987,1.0508353480575987,,,,,
56,0,56,-2275.793678207455,0.37587844479500687,0.004837439494318632,-0.630000531657926,0.0,-0.5331163028770834,-714.2459394889406,-1560.3846218839792,1560.3846218839792,,,,,
57,0,57,-125.74384506936492,0.5240986738779351,0.00029109161154178433,-0.6382506874558399,0.0,-0.813844306674472,-122.52256508479697,-1.7691849904376513,1.7691849904376513,,,,,
58,0,58,-88219.62394150182,0.3916961480682215,0.0294523558753695,-0.7770188139022127,0.0,-0.3524947423751085,-88218.49442794554,-0.0,0.0,,,,,
59,0,59,-145.95040375773462,0.5224899724330485,0.01672375204464675,-0.8168529296507052,0.0,-0.4090865498509925,-140.14823720647468,-4.576227071758247,4.576227071758247,,,,,
60,0,60,-80.23978326260796,0.3741367644812059,0.021602718555006856,-0.7419970922265945,0.0,-0.38348898237846535,-77.7405019635623,-1.3737952244405962,1.3737952244405962,,,,,
61,0,61,-68.83514358221012,0.3180589070373909,0.012564439761421577,-0.7041868013621897,0.0,-0.43768051096796845,-65.58989939677114,-2.1033768731088096,2.1033768731088096,,,,,
62,0,62,-46.47413280968588,0.40105207788653574,0.00630999395909688,-0.6642615981178853,0.0,-0.5065462093582699,-44.04068116579681,-1.2626438364129133,1.2626438364129133,,,,,
63,0,63,-29.68322131134288,0.5080129405699296,0.002382257330474081,-0.6315834318783269,0.0,-0.603928710076438,-26.96648263676118,-1.481226532626933,1.481226532626933,,,,,
64,0,64,-76.07669179259793,0.48152523309002226,0.0009316462182616191,-0.5722470107718018,0.0,-0.6977484616313191,-74.13889144946604,-0.6678048707287585,0.6678048707287585,,,,,
65,0,65,-8.49546197062802,0.4771459063419913,0.001447622429388864,-0.5936617369667343,0.0,-0.6537142222829293,-6.500228803727023,-0.7478572076513325,0.7478572076513325,,,,,
66,0,66,-18.439199620024834,0.454993322211138,0.0019113904453893981,-0.6509349285142995,0.0,-0.6259401277360868,-15.504819893822885,-1.6575046699515605,1.6575046699515605,,,,,
67,0,67,-19.418392848404213,0.44201582546022433,0.003018611457813983,-0.6767695315449352,0.0,-0.5802627112225283,-14.702001263421145,-3.4593593422156035,3.4593593422156035,,,,,
68,0,68,-22.07176637624812,0.4755674439283941,0.0012142789475853982,-0.6629106116495392,0.0,-0.6712781642050532,-17.733701901720877,-3.0038756986726525,3.0038756986726525,,,,,
69,0,69,-2.474630277456264,0.4484442500930037,0.002552961478779782,-0.6412871287161791,0.0,-0.5970109604187265,-0.8766333996881417,-0.3596987886332169,0.3596987886332169,,,,,
70,0,70,-14.27623666223401,0.4317767168712723,0.0009806617186869351,-0.6473811802309826,0.0,-0.6926263790946223,-11.97988384972254,-0.9563452531858653,0.9563452531858653,,,,,
71,0,71,-67.24481692189617,0.4696384618940913,0.0021277400137181364,-0.688106267424352,0.0,-0.6152225017146642,-63.13448092417384,-2.8070072285833128,2.8070072285833128,,,,,
72,0,72,-13.316410870850984,0.4371303905504065,0.0022512642409605143,-0.6418052228203879,0.0,-0.6095819239459924,-9.117717671206693,-2.9473060528779103,2.9473060528779103,,,,,
73,0,73,-13.68803160584384,0.4229418016772236,0.0008638752487787912,-0.6558097065839973,0.0,-0.7052925282498235,-10.605322188307982,-1.721607182702038,1.721607182702038,,,,,
74,0,74,-3.252488243189841,0.43072976313491607,0.001895357795843117,-0.6178314573061944,0.0,-0.6267820182065247,-1.8564887281478024,-0.15138603952932006,0.15138603952932006,,,,,
75,0,75,-24.280703048847677,0.4638511412551751,0.0007030028223154776,-0.6663401399601866,0.0,-0.725872819284342,-20.512841000177463,-2.3756490894256843,2.3756490894256843,,,,,
76,0,76,-11.95975927133813,0.42118591973712827,0.0025490378111500686,-0.6259720798042474,0.0,-0.5971647092019746,-10.571083257556516,-0.1655392247753927,0.1655392247753927,,,,,
77,0,77,-48.33988078662388,0.4807814389403571,0.0004042946280753006,-0.7347365933481544,0.0,-0.7810896278611531,-44.497077025696065,-2.326977539718505,2.326977539718505,,,,,
