global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-5.486138217980125,0.20811133567350934,0.0024671680875645277,-0.585322606673021,0.0,-0.60042790684654,-4.271948854322026,-0.028438850138538894,0.028438850138538894,,,,,
1,0,1,-8.107387542279788,0.20811133567350934,0.004558406442459319,-0.5320143065688161,0.0,-0.5390562830055531,-7.021617861772691,-0.014699090932728235,0.014699090932728235,,,,,
2,0,2,-5.410870074255948,0.20811133567350934,0.0060359490240888165,-0.48691191616879914,0.0,-0.510985652311789,-4.4058418275770945,-0.007130678198265517,0.007130678198265517,,,,,
3,0,3,-2.559243438066771,0.20811133567350934,0.007557406579820191,-0.44454452644338033,0.0,-0.48850948808708394,-1.6217241374196039,-0.004465286116702648,0.004465286116702648,,,,,
4,0,4,-1.604355389611527,0.20811133567350934,0.009143781280280974,-0.40534352088633385,0.0,-0.46945719142890746,-0.726702589900718,-0.0028520873955677818,0.0028520873955677818,,,,,
5,0,5,-1.1281908483355525,0.20811133567350934,0.010777963027430875,-0.3693935385314868,0.0,-0.4530158912244111,-0.3038919071017076,-0.0018895114779468526,0.0018895114779468526,,,,,
6,0,6,-1.5778429470762882,0.20811133567350934,0.01228369835322382,-0.3377661697033121,0.0,-0.4399400827382586,-0.7979430759495388,-0.0021936186851786808,0.0021936186851786808,,,,,
7,0,7,-1.0562277587608104,0.20811133567350934,0.013463674473572525,-0.30865779137893284,0.0,-0.43076857287573767,-0.3100975626761581,-0.006703831829981794,0.006703831829981794,,,,,
8,0,8,-1.1490978097461158,0.20811133567350934,0.014686731962636916,-0.2807021093536853,0.0,-0.42207426940016596,-0.4413330593746024,-0.00498837161766214,0.00498837161766214,,,,,
9,0,9,-1.2366078213078195,0.20811133567350934,0.015622801262245144,-0.25504051214475576,0.0,-0.4158959805519053,-0.5629226632257092,-0.0027486653854493118,0.0027486653854493118,,,,,
10,0,10,-1.3865238689163313,0.20811133567350934,0.016278382007950114,-0.23088804310534844,0.0,-0.4117855879327874,-0.7426478279318657,-0.0012024099463299163,0.0012024099463299163,,,,,
11,0,11,-0.9719740605760369,0.20811133567350934,0.01658365445200283,-0.20839955092563262,0.0,-0.4099277441771362,-0.3533821725486033,-0.0002645929246648044,0.0002645929246648044,,,,,
12,0,12,-0.9235675323154138,0.20811133567350934,0.01652314254709279,-0.18750772876510172,0.0,-0.4102932782814967,-0.3257663481871175,-1.7708169773543105e-07,1.7708169773543105e-07,,,,,
13,0,13,-0.9668567043909587,0.20811133567350934,0.017041504484587033,-0.16898724195524326,0.0,-0.4072044791585985,-0.3906648699075639,-1.133695531236239e-07,1.133695531236239e-07,,,,,
14,0,14,-1.4194977011936518,0.20811133567350934,0.0165265825872498,-0.15339541886924307,0.0,-0.4102724621809425,-0.8558296430035394,-1.7713992675573e-07,1.7713992675573e-07,,,,,
15,0,15,-1.325010096544556,0.20811133567350934,0.015531615302018206,-0.14030556247170234,0.0,-0.4164813252779025,-0.7682230953965749,-1.1339837618340506e-07,1.1339837618340506e-07,,,,,
16,0,16,-1.5932245857198106,0.2054908094210353,0.013887380792108104,-0.129289309049514,0.0,-0.42767027026534454,-1.0362648292650254,-1.77139926755231e-07,1.77139926755231e-07,,,,,
17,0,17,-2.8813586708915837,0.19853403314102183,0.01091202466392808,-0.12067535039035089,0.0,-0.45177982798035154,-2.3089033791885947,-1.1333228655071817e-07,1.1333228655071817e-07,,,,,
18,0,18,-1.357161812815658,0.19655836203226854,0.007674242790273662,-0.11760613320667611,0.0,-0.486975535209734,-0.7525800310381101,-1.1336113782479878e-07,1.1336113782479878e-07,,,,,
19,0,19,-2.5013190676559143,0.19341662311378896,0.0003148879268244848,-0.11396384672150928,0.0,-0.8060123069232618,-1.5813428006788564,-1.133322865508286e-07,1.133322865508286e-07,,,,,
20,0,20,-229890.3484181308,0.20811133567350934,0.04315564994542079,-0.9694695224974359,0.0,-0.31429187610342935,-229889.0034197858,-0.061236946393734865,0.061236946393734865,,,,,
21,0,21,-93.28333601805664,0.20811133567350934,0.01931369747514679,-0.8303199196097361,0.0,-0.3946888945676339,-92.05832709050972,-1.1336955312363523e-07,1.1336955312363523e-07,,,,,
22,0,22,-19.972258597146865,0.20811133567350934,0.03249846665544875,-0.7286196618557139,0.0,-0.3426531600382678,-18.900985661883333,-1.1336955312362963e-07,1.1336955312362963e-07,,,,,
23,0,23,-8.840636010378406,0.20811133567350934,0.029612781823275928,-0.650960704299854,0.0,-0.35195154238734644,-7.830265728704111,-0.007458034987094721,0.007458034987094721,,,,,
24,0,24,-4.518952634820318,0.20811133567350934,0.02608041290892702,-0.5994404541459772,0.0,-0.36465323674353584,-3.5298111353259443,-0.025047808604860035,0.025047808604860035,,,,,
25,0,25,-2.642934966543091,0.1819663578719233,0.02531400648483583,-0.5622860669183969,0.0,-0.36763579173945526,-1.6546080886846206,-0.05840501920061813,0.05840501920061813,,,,,
26,0,26,-2.165825913412223,0.14892071629693807,0.025605108184725722,-0.5265500412855262,0.0,-0.3664924354991455,-1.1802223283664075,-0.09256110826114414,0.09256110826114414,,,,,
27,0,27,-1.9769998891744875,0.11798377514617367,0.02621220747157792,-0.4968909700572325,0.0,-0.36414918932631757,-0.9822065028547351,-0.13375322693620229,0.13375322693620229,,,,,
28,0,28,-2.2043420545625385,0.09101581884246626,0.027269932976573777,-0.47482219052540353,-0.4492090578766872,-0.36019338701475817,-0.7799578909098341,-0.140159528235855,0.140159528235855,,,,,
29,0,29,-3.104658559874224,0.069045111407774,0.028754183351281534,-0.45627187811583786,-1.5477444296113,-0.3548937237509795,-0.5870529205329323,-0.15869560786317402,0.15869560786317402,,,,,
30,0,30,-3.331813998606918,0.05729912180107968,0.030052831323425344,-0.44387119348223936,-2.135043909946016,-0.3504765127844431,-0.26875214815052123,-0.13367023424369878,0.13367023424369878,,,,,
31,0,31,-3.6072753023385844,0.05101440868790308,0.031247232248721373,-0.43446046365269136,-2.4492795656048463,-0.34657924724406747,-0.25450330527501136,-0.12245272056196783,0.12245272056196783,,,,,
32,0,32,-3.779380517449939,0.047158740998380994,0.03230811510348997,-0.4263175493290328,-2.6420629500809505,-0.34324058872183977,-0.24999481963157089,-0.11776460968654463,0.11776460968654463,,,,,
33,0,33,-3.8663947982389058,0.0452384663576213,0.03324047937975275,-0.4192165288150055,-2.738076682118935,-0.3403956803975844,-0.24819527809780148,-0.12051062880957876,0.12051062880957876,,,,,
34,0,34,-3.892619917701535,0.044766857393689685,0.03399616711343976,-0.41281472382380385,-2.7616571303155157,-0.33814780780302445,-0.25720973587006,-0.12279051988913059,0.12279051988913059,,,,,
35,0,35,-4.048269001254946,0.04548042720491083,0.034779617244230114,-0.40568006454980726,-2.7259786397544588,-0.335869502311083,-0.42201811140979134,-0.15872268322980598,0.15872268322980598,,,,,
36,0,36,-3.7829129056352824,0.04728152565668728,0.03545635483799485,-0.39969481814418123,-2.6359237171656362,-0.33394245767756936,-0.2584607167249671,-0.15489119592292885,0.15489119592292885,,,,,
