global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-5.2828395974090165,0.027554840737452374,0.0020483130516752135,-0.5899452350819062,-3.6222579631273812,-0.6190250638733078,-0.4150819038661004,-0.03652943146032096,0.03652943146032096,,,,,
1,0,1,-6.820588273160337,-0.00628411063112802,0.004318103112575427,-0.5486735517621922,-5.314205531556402,-0.5444707511110408,-0.28109051417659303,-0.13214792455410965,0.13214792455410965,,,,,
2,1,0,-2.4346353071466287,0.24255980084802056,0.002563616275178433,-0.5836670329279747,0.0,-0.5965946411870947,-1.230832259794894,-0.023541373236665563,0.023541373236665563,,,,,
3,1,1,-5.102103803008605,0.20592778449300428,0.004869371036361627,-0.5306434430518536,0.0,-0.5324585156625204,-4.02445367525994,-0.014548169034291385,0.014548169034291385,,,,,
4,1,2,-2.4600190529052806,0.1762680658770487,0.007000835248904671,-0.4839496522502929,0.0,-0.4961582985874626,-1.4724506307666738,-0.007460471300851476,0.007460471300851476,,,,,
5,1,3,-1.3735201685141099,0.15030557962003524,0.00922347862018124,-0.44076998806470746,0.0,-0.46858946087902914,-0.4593907314208287,-0.004769988149544526,0.004769988149544526,,,,,
6,1,4,-1.046156796647117,0.12974949970251803,0.011384584544931652,-0.40110898829773034,0.0,-0.4475407237356123,-0.19448791330388002,-0.0030191713098943022,0.0030191713098943022,,,,,
7,1,5,-1.031102703948301,0.1156700506305117,0.013213991119900511,-0.3652991139894904,0.0,-0.43264034028973164,-0.23055265317898918,-0.0026105964900897108,0.0026105964900897108,,,,,
8,1,6,-4.167274468491064,0.11447644466782761,0.014217951703948855,-0.33772282817812166,0.0,-0.4253179577159303,-3.395511994138721,-0.008721688458290392,0.008721688458290392,,,,,
9,1,7,-2.944864915976236,0.10576854770487576,0.015033792040960484,-0.3128859575944489,0.0,-0.41973882942993934,-2.2024389162228024,-0.009801212729045277,0.009801212729045277,,,,,
