global_step,episode,ep_step,reward,d_obs,w,r_track,r_obs,r_manip,r_energy,r_collision,collision_penalty,critic_loss,actor_rl_loss,physics_loss,actor_loss,alpha
0,0,0,-5.536261695391856,0.2854154795813513,0.0024806141282651697,-0.5852459449462403,0.0,-0.5998846072350127,-4.323150070374762,-0.02798107283584062,0.02798107283584062,,,,,
1,0,1,-8.013239193943159,0.24658751749474836,0.004586048294986266,-0.5320746536894907,0.0,-0.5384518534757547,-6.927719436896969,-0.014993249880945272,0.014993249880945272,,,,,
2,0,2,-5.296060580563898,0.22246942589969723,0.006088571789017205,-0.48687211848505013,0.0,-0.510117751352274,-4.291848524121749,-0.0072221866048248675,0.0072221866048248675,,,,,
3,0,3,-2.5341522825665015,0.20390193564438377,0.007617462527544314,-0.4445031502353122,0.0,-0.4877180697680295,-1.597454520217345,-0.0044765423458148585,0.0044765423458148585,,,,,
4,0,4,-1.6032119906616944,0.19138240204341847,0.009228787644555926,-0.4052104292553041,0.0,-0.4685319237822409,-0.7266397217121662,-0.002829915911983342,0.002829915911983342,,,,,
5,0,5,-1.0332845346292538,0.18178532017297797,0.010846136487299289,-0.36952388947291964,0.0,-0.45238541520494746,-0.209567248225238,-0.0018079817261487216,0.0018079817261487216,,,,,
6,0,6,-1.7150412152432226,0.17302629199732236,0.012188608011579281,-0.33795060734394017,0.0,-0.4407171492562243,-0.9330472290930294,-0.003326229550028742,0.003326229550028742,,,,,
7,0,7,-1.0615676390518876,0.16342170410940035,0.013391727527757979,-0.3087495780400844,0.0,-0.4313043441161166,-0.3147733487957884,-0.006740368099898161,0.006740368099898161,,,,,
8,0,8,-1.064641908647739,0.1521824006802914,0.014586280134557877,-0.2809807645366398,0.0,-0.42276053536641717,-0.3559651593876874,-0.004935449356994739,0.004935449356994739,,,,,
9,0,9,-1.2588329560180413,0.13595493058120464,0.015575459019058165,-0.25485055524749334,0.0,-0.4161994541709957,-0.5849940224020729,-0.002788924197479529,0.002788924197479529,,,,,
10,0,10,-1.400526766032466,0.12274344801758308,0.016230948222327908,-0.2306011532205305,0.0,-0.4120773866315368,-0.7566284162565711,-0.0012198099238276867,0.0012198099238276867,,,,,
11,0,11,-1.0141540922765315,0.11237796121163424,0.016530237061501543,-0.2080038135557993,0.0,-0.41025035325929643,-0.395619532735745,-0.0002803927256908378,0.0002803927256908378,,,,,
12,0,12,-0.9355418704709473,0.10454573184974775,0.01646378724282974,-0.1869898039678973,0.0,-0.4106531285021096,-0.3378987609192426,-1.7708169773558529e-07,1.7708169773558529e-07,,,,,
13,0,13,-1.0625852328963106,0.09903976365973832,0.017025024047296566,-0.16831777687860697,-0.04801181701308416,-0.40730122791345336,-0.43895429772161293,-1.1336955312366017e-07,1.1336955312366017e-07,,,,,
14,0,14,-1.1167680534662212,0.0963407751246847,0.016955072518658236,-0.15272488321308333,-0.18296124376576545,-0.4077129248627913,-0.3733688244396183,-1.771849627868097e-07,1.771849627868097e-07,,,,,
15,0,15,-1.9475771598240825,0.09614871613826698,0.015676802686255934,-0.13966059926458368,-0.19256419308665146,-0.4155509408684781,-1.1998013132432315,-1.1336113782495963e-07,1.1336113782495963e-07,,,,,
16,0,16,-1.8966439398793524,0.09707532167032179,0.013989424726619326,-0.128575270702222,-0.14623391648391076,-0.42693821314647007,-1.1948964261771964,-1.1336955312360426e-07,1.1336955312360426e-07,,,,,
17,0,17,-1.2450773499309484,0.09744817958094232,0.012244544340580284,-0.12193653771329317,-0.12759102095288438,-0.44025931354557885,-0.5552903643580541,-1.1336113782477788e-07,1.1336113782477788e-07,,,,,
18,0,18,-2.6035712431822535,0.0979140354466703,0.009004067906327719,-0.11837391078592528,-0.10429822766648555,-0.4709967759424547,-1.9099021515508683,-1.7723651963589613e-07,1.7723651963589613e-07,,,,,
19,0,19,-3.162956354316908,0.10110877051425546,0.0024951437534130928,-0.11259503791167007,0.0,-0.5993008236618538,-2.4510603793450083,-1.1339837618352653e-07,1.1339837618352653e-07,,,,,
20,0,20,-12.548073597937764,0.09547726861760039,0.04863202024438138,-0.09257337717384874,-0.2261365691199807,-0.3023452549886272,-11.927018283285754,-1.133695531236091e-07,1.133695531236091e-07,,,,,
21,0,21,-1.7079763655534492,0.1074063217357476,0.049699190960688984,-0.07070777953841619,0.0,-0.3001746503619552,-1.3370937585713802,-1.7708169773553094e-07,1.7708169773553094e-07,,,,,
22,0,22,-1.1671540394139022,0.11904533906769593,0.05106289421460387,-0.053402710663616695,0.0,-0.2974677602654296,-0.816283391358078,-1.7712677785120883e-07,1.7712677785120883e-07,,,,,
23,0,23,-1.636642888886648,0.130439595055171,0.05161379213762753,-0.041922923455178514,0.0,-0.29639469782425554,-1.2983251542376608,-1.1336955312349528e-07,1.1336955312349528e-07,,,,,
24,0,24,-1.0490262512346085,0.138843594860558,0.052766820140038743,-0.03103086351253103,0.0,-0.29418537411151785,-0.7238098364706328,-1.7713992675558346e-07,1.7713992675558346e-07,,,,,
